Admin_ID,Course_ID
3DV5A56UA03,3ND9CX0CF76
8QK1EY9WV47,7M92WP6YW71
6TY9C88XF52,2R08TK1MP79
6A49W83PJ14,5K08KK1XQ67
6F04P03KA00,5CV3UJ6KG87
9J06GW2FQ94,7CY6UT6PK09
6KM0MQ4PA38,5NE2NG9PR65
2JJ3D77PK57,8K25QE9QU21
5UK8QC4JX98,7V04YV1GN84
1A12P94WC18,3WR4V68EH08
4U97YK5VN53,6WT1QH2UF46
7WX0KR0HN50,5WT3Y17TX97
8TH5GA6YK30,4E40EX5XH24
4VP3X93QJ94,5R89TU1EP80
4PP4E10DF89,6W48JD1QX62
4AP0Y27UM45,7JX4YU8CW30
3JC0RK7HU05,6R60XX0NY45
3MW2JD9EN94,5R06VR6WR75
2G02TY9FC27,3X92WF1DT21
3P26GU0HW13,6M61NU3FG59
5R13JY7JH27,9A92M07GD90
8FM4N43GQ85,8VF4NT5VP19
5Y43Y01AG49,4TT9HF2RU77
7GQ3A67YW61,1HW9UP4JP43
4UQ2J81HC12,9M54PH0NF60
6NM4D05FX29,9YG0MQ8KQ16
1QD7GQ0CQ71,6Y94U38NA22
6Y60VV5YP70,3EY5PK3GR04
5RU2HT5PD83,6V43HE9FW56
6K17Y57HR92,2FG9AE0JJ25
